                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                0.81805,                 1.5108,                0.72982,                 1.1113,                0.78516,                0.80549,                0.85648,                0.62486,                0.78007,                0.79837,                 0.8378,                0.54602,                0.92317,                 1.7232,                0.79423,                 1.2075,              0.0008694,              0.0008694,              0.0008694
                     25,                 0.8222,                 1.5046,                0.71399,                 1.1201,                0.80401,                0.65838,                0.79198,                0.59224,                0.80531,                0.63097,                0.72355,                  0.506,                0.86932,                 1.5408,                0.87954,                 1.1991,              0.0008676,              0.0008676,              0.0008676
                     26,                0.81552,                 1.5112,                0.71897,                 1.1167,                0.80752,                0.77356,                0.85929,                0.65533,                0.74742,                0.73308,                0.80704,                0.54354,                 0.8524,                 1.6499,                0.79865,                 1.1666,              0.0008658,              0.0008658,              0.0008658
                     27,                0.80521,                 1.4857,                0.69903,                 1.1134,                0.78165,                0.77546,                0.79554,                0.59783,                0.78291,                 0.7645,                0.78891,                0.53864,                0.91962,                 1.6026,                0.83331,                 1.2203,               0.000864,               0.000864,               0.000864
                     28,                0.79104,                 1.4674,                0.68661,                 1.0999,                0.75113,                0.72725,                0.78244,                0.58391,                0.74171,                0.71954,                0.76803,                0.55767,                0.89595,                 1.6618,                0.78506,                 1.2196,              0.0008622,              0.0008622,              0.0008622
                     29,                0.78203,                  1.432,                0.69142,                 1.1021,                 0.7529,                0.75253,                0.81729,                0.62661,                0.75226,                0.74612,                0.80779,                0.57182,                0.87524,                  1.488,                0.77693,                 1.1785,              0.0008604,              0.0008604,              0.0008604
                     30,                0.79814,                 1.4676,                 0.6983,                 1.1002,                 0.7693,                0.77221,                0.81684,                 0.6243,                0.76799,                0.76732,                0.80557,                0.57492,                 0.8641,                 1.6483,                0.81169,                 1.2015,             0.00085861,             0.00085861,             0.00085861
                     31,                0.78378,                 1.4785,                 0.6637,                 1.1048,                0.82887,                0.72275,                0.81865,                0.63165,                0.83718,                0.72738,                0.80855,                0.54738,                0.85181,                 1.5479,                0.81726,                 1.1701,             0.00085681,             0.00085681,             0.00085681
                     32,                 0.7812,                 1.4508,                0.67631,                 1.0889,                0.72079,                0.83703,                0.82366,                0.61877,                0.65551,                0.79663,                0.73186,                0.52122,                0.82622,                 1.5187,                0.74665,                 1.1523,             0.00085501,             0.00085501,             0.00085501
                     33,                0.75734,                 1.3771,                0.65417,                 1.0877,                0.74888,                0.80359,                0.83215,                 0.6199,                0.71396,                0.79673,                0.81042,                0.55507,                 0.8549,                 1.4811,                0.78418,                 1.1521,             0.00085321,             0.00085321,             0.00085321
