                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                0.82501,                 1.4814,                 0.7201,                 1.0558,                0.86277,                0.73259,                0.84839,                0.61073,                0.78431,                0.68512,                0.75989,                0.52174,                0.91394,                 1.6239,                0.81764,                 1.1034,              0.0008694,              0.0008694,              0.0008694
                     25,                0.81667,                 1.4673,                0.70425,                 1.0517,                0.70055,                0.83501,                0.82961,                0.61837,                0.70066,                0.80777,                 0.7937,                0.55955,                0.89558,                 1.4728,                0.86822,                 1.1287,              0.0008676,              0.0008676,              0.0008676
                     26,                0.82605,                 1.5151,                0.72067,                 1.0566,                0.72846,                 0.8326,                0.82684,                0.61554,                 0.7427,                0.71908,                0.77856,                0.54924,                0.89472,                 1.5056,                0.82402,                 1.1249,              0.0008658,              0.0008658,              0.0008658
                     27,                0.83178,                 1.4675,                0.71285,                 1.0636,                0.67268,                0.68104,                0.71167,                0.53121,                0.66708,                0.67162,                0.70074,                0.49537,                0.91038,                 1.5181,                0.90831,                 1.1113,               0.000864,               0.000864,               0.000864
                     28,                 0.8097,                 1.4453,                0.69125,                 1.0437,                0.81831,                0.71501,                0.81016,                0.60084,                0.81449,                0.70322,                0.80816,                 0.5702,                0.88702,                 1.5319,                0.81338,                 1.1139,              0.0008622,              0.0008622,              0.0008622
                     29,                0.80007,                 1.4395,                0.70262,                 1.0484,                0.80379,                0.79198,                0.83197,                0.60767,                0.79858,                0.79096,                0.82465,                0.59609,                0.90301,                 1.5151,                0.84192,                 1.1035,              0.0008604,              0.0008604,              0.0008604
                     30,                0.81539,                 1.4437,                0.69016,                 1.0437,                0.87105,                  0.727,                0.84413,                0.62156,                0.87173,                0.72051,                0.83172,                0.58402,                0.87106,                  1.449,                0.79153,                 1.0784,             0.00085861,             0.00085861,             0.00085861
                     31,                0.80296,                 1.4615,                0.68703,                  1.046,                0.80322,                0.76011,                0.83339,                0.64367,                0.80808,                 0.7294,                 0.8141,                0.59714,                0.86355,                 1.4931,                0.78851,                 1.0883,             0.00085681,             0.00085681,             0.00085681
                     32,                0.79399,                 1.4187,                0.66662,                 1.0338,                0.84179,                0.73604,                0.81899,                0.63128,                0.82503,                0.71075,                0.77851,                0.57536,                 0.8836,                 1.5478,                0.83916,                 1.1022,             0.00085501,             0.00085501,             0.00085501
                     33,                0.78482,                 1.3666,                0.66428,                 1.0417,                0.76643,                0.72393,                0.80604,                0.59627,                0.75661,                0.71308,                0.79514,                0.56959,                 0.8761,                 1.5272,                0.77872,                 1.0974,             0.00085321,             0.00085321,             0.00085321
                     34,                0.80374,                 1.4184,                0.69214,                 1.0478,                0.78026,                0.77124,                0.83402,                0.64638,                0.77129,                0.75507,                0.81952,                0.61753,                 0.8443,                 1.4634,                0.79351,                 1.0681,             0.00085141,             0.00085141,             0.00085141
                     35,                0.80287,                 1.3944,                0.68387,                 1.0458,                0.77574,                0.71683,                0.77647,                0.59253,                0.69122,                0.73138,                0.73741,                0.53225,                0.84318,                 1.5028,                0.80706,                 1.0986,             0.00084961,             0.00084961,             0.00084961
                     36,                0.78933,                 1.3703,                  0.662,                 1.0391,                0.80147,                 0.7144,                 0.8092,                0.62516,                0.79878,                0.70891,                0.78878,                0.58672,                0.88123,                 1.4416,                0.74891,                 1.0912,             0.00084781,             0.00084781,             0.00084781
                     37,                0.76055,                 1.3804,                0.64567,                 1.0218,                0.86979,                 0.7094,                0.82259,                 0.6252,                0.86313,                0.70293,                0.81114,                 0.5791,                0.86651,                 1.4875,                0.73894,                 1.0921,             0.00084601,             0.00084601,             0.00084601
                     38,                0.78006,                 1.3771,                 0.6556,                 1.0328,                0.74006,                0.82447,                0.82664,                0.61943,                0.69053,                0.75384,                0.75019,                0.54196,                0.84917,                  1.499,                0.72276,                 1.0556,             0.00084421,             0.00084421,             0.00084421
                     39,                0.78819,                 1.4037,                0.65723,                  1.033,                0.81907,                0.77826,                 0.8424,                0.64098,                0.81695,                0.77291,                0.83589,                0.57993,                0.86926,                 1.5611,                0.78627,                 1.0926,             0.00084241,             0.00084241,             0.00084241
                     40,                 0.7894,                 1.3856,                0.65816,                 1.0378,                0.80436,                0.82409,                0.85336,                 0.6439,                0.80353,                0.78937,                0.83671,                0.58366,                0.85071,                 1.4368,                0.76013,                 1.0699,             0.00084061,             0.00084061,             0.00084061
                     41,                0.75285,                 1.3585,                0.64053,                 1.0144,                0.77002,                 0.8242,                0.85032,                0.65627,                0.78765,                0.80127,                0.84418,                0.61659,                0.89986,                 1.5501,                0.80135,                 1.1099,             0.00083881,             0.00083881,             0.00083881
                     42,                0.75174,                  1.313,                0.62029,                 1.0076,                0.86008,                0.73406,                0.81472,                0.62846,                0.86537,                0.72051,                0.80766,                0.58392,                0.84647,                 1.5193,                0.75522,                 1.0836,             0.00083701,             0.00083701,             0.00083701
